timestamp,temperature,humidity,pressure,light,upload
0.0,24.07,45.09,1012.35,321.2,
10.0,23.99,45.33,1012.44,319.8,
20.0,23.88,45.61,1012.47,317.6,
30.0,23.91,45.45,1012.34,316.1,
40.0,24.04,45.18,1012.37,324.2,
50.0,24.02,45.39,1012.45,313.5,
60.0,24.11,44.98,1012.48,320.1,
70.0,23.93,44.77,1012.44,326.4,
80.0,23.98,45.24,1012.32,318.9,
90.0,24.17,44.74,1012.45,320.0,
100.0,23.96,45.42,1012.51,318.5,
110.0,24.0,45.41,1012.37,315.0,
120.0,23.94,45.25,1012.43,326.5,
130.0,23.94,44.72,1012.29,314.1,
140.0,24.05,44.79,1012.54,321.0,
150.0,24.0,44.59,1012.32,318.3,
160.0,24.15,44.88,1012.33,321.5,
170.0,24.1,44.92,1012.38,321.4,
180.0,24.03,44.83,1012.45,321.8,
190.0,24.1,44.66,1012.21,320.3,
200.0,24.02,44.93,1012.48,322.2,
210.0,24.01,45.63,1012.5,320.2,
220.0,23.97,45.15,1012.17,325.9,
230.0,24.13,44.52,1012.43,322.1,
240.0,23.95,44.57,1012.05,320.5,
250.0,23.92,44.81,1012.74,322.2,
260.0,23.93,44.65,1012.5,318.9,
270.0,23.83,45.29,1012.46,324.4,
280.0,24.04,45.19,1012.53,316.3,
290.0,23.96,45.37,1012.39,321.1,
300.0,23.99,44.54,1012.62,318.9,
310.0,23.88,44.87,1012.37,322.7,
320.0,23.92,45.36,1012.52,318.9,
330.0,24.19,44.67,1012.26,320.0,
340.0,24.11,44.4,1012.43,323.1,
350.0,23.99,45.46,1012.46,323.7,
360.0,23.94,45.57,1012.5,320.9,
370.0,23.98,45.13,1012.61,322.1,
380.0,23.94,45.73,1012.33,325.0,
390.0,24.07,44.36,1012.21,317.2,
400.0,23.97,44.46,1012.48,323.5,
410.0,24.0,45.15,1012.39,324.2,
420.0,23.95,44.51,1012.54,321.4,
430.0,23.88,45.02,1012.52,320.3,
440.0,23.97,45.13,1012.53,325.5,
450.0,24.02,44.89,1012.3,321.2,
460.0,23.94,45.21,1012.27,328.2,
470.0,24.01,44.49,1012.27,317.6,
480.0,23.94,44.47,1012.41,321.3,
490.0,24.04,44.74,1012.47,319.2,
500.0,23.84,44.41,1012.47,320.4,
510.0,24.11,44.58,1012.3,322.2,
520.0,23.94,44.99,1012.38,320.5,
530.0,24.01,44.91,1012.37,318.9,
540.0,23.91,45.45,1012.19,321.1,
550.0,23.85,44.83,1012.5,322.8,
560.0,23.91,44.82,1012.51,321.4,
570.0,23.95,44.47,1012.19,323.9,
580.0,23.94,45.22,1012.33,314.6,
590.0,23.8,45.41,1012.34,320.4,
600.0,24.08,44.63,1012.39,323.6,
610.0,23.92,44.06,1012.54,321.4,
620.0,24.05,44.71,1012.29,323.0,
630.0,23.93,44.83,1012.45,321.9,
640.0,24.1,45.61,1012.25,319.0,
650.0,23.95,44.75,1012.27,328.3,
660.0,24.01,44.67,1012.45,319.5,
670.0,24.04,44.79,1012.46,321.3,
680.0,24.03,45.29,1012.56,321.8,
690.0,24.04,45.26,1012.31,317.8,
700.0,23.77,45.61,1012.21,321.0,
710.0,24.08,45.48,1012.52,325.9,
720.0,24.13,45.26,1012.38,323.5,
730.0,24.04,44.94,1012.58,324.5,
740.0,24.07,44.83,1012.35,326.7,
750.0,24.09,44.83,1012.56,322.8,
760.0,23.91,45.52,1012.45,324.8,
770.0,23.94,45.18,1012.29,319.6,
780.0,23.93,45.03,1012.28,323.7,
790.0,24.07,44.67,1012.19,324.7,
800.0,23.98,45.26,1012.37,321.6,
810.0,24.11,45.07,1012.65,321.9,
820.0,24.03,44.4,1012.62,327.8,
830.0,24.06,45.08,1012.17,326.9,
840.0,23.9,44.79,1012.39,323.2,
850.0,23.97,44.52,1012.37,325.2,
860.0,23.88,44.98,1012.21,325.6,
870.0,24.11,44.54,1012.46,325.1,
880.0,23.85,45.62,1012.61,318.2,
890.0,24.1,45.39,1012.39,320.5,
900.0,23.99,44.81,1012.4,322.9,
910.0,23.93,44.4,1012.57,325.5,
920.0,24.11,44.7,1012.48,317.6,
930.0,24.07,44.94,1012.19,328.4,
940.0,23.94,44.61,1012.27,319.8,
950.0,24.05,45.08,1012.38,320.6,
960.0,23.87,45.55,1012.57,319.6,
970.0,24.01,45.05,1012.45,318.1,
980.0,23.99,45.63,1012.36,318.1,
990.0,24.11,44.85,1012.45,322.9,
1000.0,24.11,44.59,1012.5,321.5,
1010.0,23.92,44.8,1012.49,320.9,
1020.0,24.05,45.1,1012.3,327.7,
1030.0,23.87,45.37,1012.3,323.9,
1040.0,24.02,45.36,1012.5,325.5,
1050.0,24.11,44.92,1012.34,323.0,
1060.0,23.94,44.78,1012.37,325.0,
