timestamp,temperature,humidity,pressure,light,upload
0.0,24.07,44.77,1012.35,321.2,
20.0,23.87,46.13,1012.47,317.6,
40.0,24.04,45.0,1012.37,324.2,
60.0,24.11,44.51,1012.48,320.1,
80.0,23.98,45.32,1012.32,318.9,
100.0,23.96,45.58,1012.51,318.5,
120.0,23.94,45.51,1012.43,326.5,
140.0,24.05,44.6,1012.54,321.0,
160.0,24.15,44.23,1012.33,321.5,
180.0,24.03,44.71,1012.45,321.8,
200.0,24.02,44.86,1012.48,322.2,
220.0,23.97,45.26,1012.17,325.9,
240.0,23.95,44.78,1012.05,320.5,
260.0,23.93,44.95,1012.5,318.9,
280.0,24.04,45.05,1012.53,316.3,
300.0,23.99,44.59,1012.62,318.9,
320.0,23.92,45.68,1012.52,318.9,
340.0,24.11,43.92,1012.43,323.1,
360.0,23.94,45.83,1012.5,320.9,
380.0,23.94,45.97,1012.33,325.0,
400.0,23.97,44.6,1012.48,323.5,
420.0,23.95,44.73,1012.54,321.4,
440.0,23.97,45.24,1012.53,325.5,
460.0,23.94,45.48,1012.27,328.2,
480.0,23.94,44.71,1012.41,321.3,
500.0,23.84,45.1,1012.47,320.4,
520.0,23.94,45.24,1012.38,320.5,
540.0,23.91,45.83,1012.19,321.1,
560.0,23.91,45.2,1012.51,321.4,
580.0,23.94,45.47,1012.33,314.6,
600.0,24.08,44.29,1012.39,323.6,
620.0,24.05,44.52,1012.29,323.0,
640.0,29.12,22.59,1012.25,319.0,
660.0,29.01,22.12,1012.45,319.5,
680.0,29.04,22.63,1012.56,321.8,
700.0,28.71,24.34,1012.21,321.0,
720.0,29.16,22.06,1012.38,323.5,
740.0,29.09,21.96,1012.35,326.7,
760.0,28.89,23.49,1012.45,324.8,
780.0,28.91,22.89,1012.28,323.7,
800.0,28.97,22.89,1012.37,321.6,
820.0,29.03,21.75,1012.62,327.8,
840.0,28.87,22.86,1012.39,323.2,
860.0,28.85,23.11,1012.21,325.6,
880.0,28.81,23.91,1012.61,318.2,
900.0,28.99,22.36,1012.4,322.9,
920.0,29.14,21.62,1012.48,317.6,
940.0,28.92,22.44,1012.27,319.8,
960.0,28.83,23.77,1012.57,319.6,
980.0,28.99,23.18,1012.36,318.1,
1000.0,29.13,21.52,1012.5,321.5,
1020.0,29.06,22.34,1012.3,327.7,
1040.0,29.03,22.74,1012.5,325.5,
1060.0,28.93,22.58,1012.37,325.0,
1080.0,28.97,23.01,1012.4,324.2,
1100.0,29.04,22.62,1012.42,322.1,
1120.0,29.14,21.15,1012.49,318.7,
1140.0,29.08,21.36,1012.35,321.8,
1160.0,29.1,22.63,1012.27,326.4,
1180.0,28.98,22.84,1012.42,326.0,
1200.0,28.99,21.68,1012.27,327.3,
1220.0,28.96,23.1,1012.41,322.5,
1240.0,28.44,25.6,1012.45,318.9,
1260.0,28.05,27.54,1012.31,324.9,
1280.0,27.85,27.43,1012.41,329.8,
1300.0,27.5,28.81,1012.56,323.6,
1320.0,27.16,30.86,1012.19,321.6,
1340.0,26.83,32.66,1012.37,325.0,
1360.0,26.33,34.76,1012.33,324.5,
1380.0,25.96,36.31,1012.27,321.9,
1400.0,25.76,36.84,1012.4,320.5,
1420.0,25.5,37.84,1012.32,318.2,
1440.0,24.93,40.99,1012.19,325.0,
1460.0,24.74,42.29,1012.49,325.5,
1480.0,24.45,42.62,1012.43,318.9,
1500.0,23.97,45.12,1012.45,322.3,
1520.0,24.06,44.42,1012.39,321.4,
1540.0,23.96,45.13,1012.56,325.7,
1560.0,23.96,45.14,1012.44,321.8,
1580.0,24.08,45.04,1012.43,319.5,
1600.0,23.99,45.57,1012.35,319.2,
1620.0,23.85,45.71,1012.51,320.2,
1640.0,24.07,44.63,1012.44,321.6,
1660.0,24.11,45.05,1012.5,320.1,
1680.0,23.97,44.79,1012.56,322.0,
1700.0,23.92,46.36,1012.32,325.2,
1720.0,24.13,45.18,1012.33,328.8,
1740.0,24.07,45.23,1012.14,321.1,
1760.0,23.98,45.16,1012.38,319.7,
1780.0,24.0,45.88,1012.29,328.6,
