timestamp,temperature,humidity,pressure,light,upload
0.0,24.07,44.84,1012.35,321.2,
20.0,23.87,46.02,1012.47,317.6,
40.0,24.04,45.04,1012.37,324.2,
60.0,24.11,44.61,1012.48,320.1,
80.0,23.98,45.3,1012.32,318.9,
100.0,23.96,45.55,1012.51,318.5,
120.0,23.94,45.45,1012.43,326.5,
140.0,24.05,44.64,1012.54,321.0,
160.0,24.15,44.37,1012.33,321.5,
180.0,24.03,44.74,1012.45,321.8,
200.0,24.02,44.88,1012.48,322.2,
220.0,23.97,45.24,1012.17,325.9,
240.0,23.95,44.73,1012.05,320.5,
260.0,23.93,44.89,1012.5,318.9,
280.0,24.04,45.08,1012.53,316.3,
300.0,23.99,44.58,1012.62,318.9,
320.0,23.92,45.61,1012.52,318.9,
340.0,24.11,44.03,1012.43,323.1,
360.0,23.94,45.78,1012.5,320.9,
380.0,23.94,45.92,1012.33,325.0,
400.0,23.97,44.57,1012.48,323.5,
420.0,23.95,44.69,1012.54,321.4,
440.0,23.97,45.22,1012.53,325.5,
460.0,23.94,45.42,1012.27,328.2,
480.0,23.94,44.66,1012.41,321.3,
500.0,23.84,44.95,1012.47,320.4,
520.0,23.94,45.19,1012.38,320.5,
540.0,23.91,45.75,1012.19,321.1,
560.0,23.91,45.12,1012.51,321.4,
580.0,23.94,45.42,1012.33,314.6,
600.0,24.08,44.36,1012.39,323.6,
620.0,24.05,44.56,1012.29,323.0,
640.0,24.1,45.29,1012.25,319.0,
660.0,24.01,44.64,1012.45,319.5,
680.0,24.03,45.19,1012.56,321.8,
700.0,23.77,46.37,1012.21,321.0,
720.0,24.13,44.82,1012.38,323.5,
740.0,24.07,44.6,1012.35,326.7,
760.0,23.91,45.81,1012.45,324.8,
780.0,23.93,45.25,1012.28,323.7,
800.0,23.98,45.34,1012.37,321.6,
820.0,24.03,44.31,1012.62,327.8,
840.0,23.89,45.14,1012.39,323.2,
860.0,23.88,45.37,1012.21,325.6,
880.0,23.85,46.11,1012.61,318.2,
900.0,23.99,44.84,1012.4,322.9,
920.0,24.11,44.34,1012.48,317.6,
940.0,23.94,44.81,1012.27,319.8,
960.0,23.87,46.0,1012.57,319.6,
980.0,23.99,45.66,1012.36,318.1,
1000.0,24.11,44.24,1012.5,321.5,
1020.0,24.05,44.94,1012.3,327.7,
1040.0,24.02,45.29,1012.5,325.5,
1060.0,23.94,44.97,1012.37,325.0,
1080.0,23.97,45.45,1012.4,324.2,
1100.0,24.03,45.19,1012.42,322.1,
1120.0,24.11,43.87,1012.49,318.7,
1140.0,24.07,44.0,1012.35,321.8,
1160.0,24.08,45.3,1012.27,326.4,
1180.0,23.98,45.3,1012.42,326.0,
1200.0,23.99,44.16,1012.27,327.3,
1220.0,24.11,45.04,1012.41,322.5,
1240.0,23.96,45.69,1012.45,318.9,
1260.0,23.93,46.03,1012.31,324.9,
1280.0,24.05,44.59,1012.41,329.8,
1300.0,24.04,44.4,1012.56,323.6,
1320.0,24.05,44.92,1012.19,321.6,
